scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan11,subset_uniform,5pct,2,16,12,True,True,0.00593117531388998,0.00593117531388998,0.005879092961549759,0.0,5.2082352340221405e-05,10.962985038757324,3.8317267894744873,0.9999999403953552,643.0734252929688,0.0
scan11,subset_uniform,5pct,3,24,13,True,True,0.005054153501987457,0.005048486869782209,0.004998770076781511,5.666632205247879e-06,5.538342520594597e-05,11.63055419921875,3.379995107650757,1.0,649.9642944335938,0.0
scan11,subset_uniform,5pct,4,32,13,True,True,0.004503630567342043,0.004503743257373571,0.004356368910521269,-1.126900315284729e-07,0.00014726165682077408,6.543119430541992,2.8467836380004883,1.0,654.1136474609375,0.0
scan11,subset_uniform,5pct,5,40,14,True,True,0.006002593319863081,0.006009487900882959,0.005797107238322496,-6.8945810198783875e-06,0.00020548608154058456,11.871009826660156,3.7035038471221924,0.9991469979286194,661.83251953125,0.0
scan11,subset_uniform,2pct,0,0,14,True,True,0.0067067863419651985,0.006699206307530403,0.006597071420401335,7.58003443479538e-06,0.00010971492156386375,11.051199913024902,4.257882118225098,1.0,624.3582763671875,0.0
scan11,subset_uniform,2pct,1,8,12,True,False,0.005801585037261248,0.005801585037261248,0.005872352048754692,0.0,-7.076701149344444e-05,10.20958137512207,3.7377355098724365,0.9999999403953552,639.9697265625,0.0
scan11,subset_uniform,2pct,2,16,12,True,False,0.00593117531388998,0.00593117531388998,0.005879092961549759,0.0,5.2082352340221405e-05,10.962985038757324,3.8317267894744873,0.9999999403953552,643.0734252929688,0.0
scan11,subset_uniform,2pct,3,24,13,True,True,0.005048486869782209,0.005048486869782209,0.004998770076781511,0.0,4.971679300069809e-05,11.625384330749512,3.3758397102355957,1.0,649.964111328125,0.0
scan11,subset_uniform,2pct,4,32,14,True,True,0.0043338448740541935,0.0043301330879330635,0.004356368910521269,3.7117861211299896e-06,-2.2524036467075348e-05,6.482487201690674,2.7438368797302246,1.0,654.1083374023438,0.0
scan11,subset_uniform,2pct,5,40,15,True,True,0.005858514923602343,0.0058520520105957985,0.005797107238322496,6.462913006544113e-06,6.140768527984619e-05,11.842345237731934,3.6155600547790527,0.9991211295127869,661.8265991210938,0.0
scan12,subset_middle,5pct,0,24,14,True,False,0.012869104743003845,0.012869104743003845,0.012426581233739853,0.0,0.0004425235092639923,48.47141647338867,10.959465026855469,0.9709965586662292,664.8865966796875,0.0
scan12,subset_middle,5pct,1,0,15,True,True,0.0050960625521838665,0.0050960625521838665,0.004975432530045509,0.0,0.00012063002213835716,5.7528181076049805,3.310567855834961,1.0,645.2794799804688,0.0
scan12,subset_middle,5pct,2,1,15,True,True,0.005334109999239445,0.005334109999239445,0.005113944411277771,0.0,0.00022016558796167374,5.150893688201904,3.4593889713287354,1.0,645.7227783203125,0.0
scan12,subset_middle,5pct,3,2,15,True,True,0.006071047857403755,0.006071047857403755,0.005981894209980965,0.0,8.915364742279053e-05,6.078349590301514,3.9766509532928467,0.9999999403953552,648.33056640625,0.0
scan12,subset_middle,5pct,4,3,14,True,False,0.006205770652741194,0.006205770652741194,0.006030912045389414,0.0,0.00017485860735177994,6.055849552154541,4.004313945770264,1.0,648.093017578125,0.0
scan12,subset_middle,5pct,5,4,15,True,True,0.005896877031773329,0.005896877031773329,0.005781597923487425,0.0,0.00011527910828590393,8.945051193237305,3.7620134353637695,0.9990159869194031,639.7843017578125,0.0
scan12,subset_middle,2pct,0,24,15,True,False,0.012565992772579193,0.012565992772579193,0.012426581233739853,0.0,0.0001394115388393402,48.59025192260742,10.773332595825195,0.9709965586662292,664.884521484375,0.0
scan12,subset_middle,2pct,1,0,16,False,True,0.004975432530045509,0.004975432530045509,0.004975432530045509,0.0,0.0,5.512521743774414,3.228224039077759,1.0,645.2774047851562,0.0
scan12,subset_middle,2pct,2,1,16,False,True,0.005113944411277771,0.005113944411277771,0.005113944411277771,0.0,0.0,4.896920204162598,3.313588857650757,1.0,645.7211303710938,0.0
